"","Date","Recorder","Site","Block","Group","Plot","Quadrant","Species..Nell.","Species","Cover","Notes","what3words","X"
"268","2022-06-30","Nell Pates","Knepp","M","0","112",1,"Grass 1 (Holcus lanatus)","Holcus_lanatus",30,"","crumb.bunks.peroxide",0
"269","2022-06-30","Nell Pates","Knepp","M","0","112",1,"Grass 2 (Poa trivialis)","Agrostis_capillaris",45,"","crumb.bunks.peroxide",0
"270","2022-06-30","Nell Pates","Knepp","M","0","112",1,"Thistle","Cirsium_arvense",9,"","crumb.bunks.peroxide",0
"271","2022-06-30","Nell Pates","Knepp","M","0","112",1,"Potentilla reptans","Potentilla_reptans",85,"","crumb.bunks.peroxide",0
"272","2022-06-30","Nell Pates","Knepp","M","0","112",2,"Holcus lanatus","Holcus_lanatus",6,"","crumb.bunks.peroxide",0
"273","2022-06-30","Nell Pates","Knepp","M","0","112",2,"Hordeum murinum","Hordeum_secalinum",1,"","crumb.bunks.peroxide",0
"274","2022-06-30","Nell Pates","Knepp","M","0","112",2,"Grass 3 (Poa trivialis)","Agrostis_capillaris",25,"","crumb.bunks.peroxide",0
"275","2022-06-30","Nell Pates","Knepp","M","0","112",2,"Grass 4 (soft brome?)","Bromus_hordeaceus",1,"","crumb.bunks.peroxide",0
"276","2022-06-30","Nell Pates","Knepp","M","0","112",2,"Thistle","Cirsium_arvense",10,"","crumb.bunks.peroxide",0
"277","2022-06-30","Nell Pates","Knepp","M","0","112",2,"Potentilla reptans","Potentilla_reptans",75,"","crumb.bunks.peroxide",0
"278","2022-06-30","Nell Pates","Knepp","M","0","112",3,"Holcus lanatus","Holcus_lanatus",30,"","crumb.bunks.peroxide",0
"279","2022-06-30","Nell Pates","Knepp","M","0","112",3,"Grass 5 (small Timothy?)","Phleum_bertolonii",1,"","crumb.bunks.peroxide",0
"280","2022-06-30","Nell Pates","Knepp","M","0","112",3,"Grass 2 (Poa trivialis)","Agrostis_capillaris",20,"","crumb.bunks.peroxide",0
"281","2022-06-30","Nell Pates","Knepp","M","0","112",3,"Thistle","Cirsium_arvense",35,"","crumb.bunks.peroxide",0
"282","2022-06-30","Nell Pates","Knepp","M","0","112",3,"Potentilla reptans","Potentilla_reptans",65,"","crumb.bunks.peroxide",0
"283","2022-06-30","Nell Pates","Knepp","M","0","112",4,"Holcus lanatus","Holcus_lanatus",25,"","crumb.bunks.peroxide",0
"284","2022-06-30","Nell Pates","Knepp","M","0","112",4,"Grass 3 (Poa trivialis)","Agrostis_capillaris",25,"","crumb.bunks.peroxide",0
"285","2022-06-30","Nell Pates","Knepp","M","0","112",4,"Grass 5 (small Timothy?)","Phleum_bertolonii",2.5,"","crumb.bunks.peroxide",0
"286","2022-06-30","Nell Pates","Knepp","M","0","112",4,"Grass 4 (soft brome?)","Bromus_hordeaceus",1,"","crumb.bunks.peroxide",0
"287","2022-06-30","Nell Pates","Knepp","M","0","112",4,"Thistle","Cirsium_arvense",40,"","crumb.bunks.peroxide",0
"288","2022-06-30","Nell Pates","Knepp","M","0","112",4,"Potentilla reptans","Potentilla_reptans",70,"","crumb.bunks.peroxide",0
"289","2022-06-30","Nell Pates","Knepp","M","0","111",1,"Holcus lanatus","Holcus_lanatus",85,"","suitable.conspired.revolting",0
"290","2022-06-30","Nell Pates","Knepp","M","0","111",1,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",15,"","suitable.conspired.revolting",0
"291","2022-06-30","Nell Pates","Knepp","M","0","111",1,"Potentilla reptans","Potentilla_reptans",40,"","suitable.conspired.revolting",0
"292","2022-06-30","Nell Pates","Knepp","M","0","111",1,"White clover","Trifolium_repens",20,"","suitable.conspired.revolting",0
"293","2022-06-30","Nell Pates","Knepp","M","0","111",2,"Holcus lanatus","Holcus_lanatus",35,"","suitable.conspired.revolting",0
"294","2022-06-30","Nell Pates","Knepp","M","0","111",2,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",35,"","suitable.conspired.revolting",0
"295","2022-06-30","Nell Pates","Knepp","M","0","111",2,"Grass 5 (small Timothy?)","Phleum_bertolonii",10,"","suitable.conspired.revolting",0
"296","2022-06-30","Nell Pates","Knepp","M","0","111",2,"Potentilla reptans","Potentilla_reptans",25,"","suitable.conspired.revolting",0
"297","2022-06-30","Nell Pates","Knepp","M","0","111",2,"White clover","Trifolium_repens",35,"","suitable.conspired.revolting",0
"299","2022-06-30","Nell Pates","Knepp","M","0","111",3,"Holcus lanatus","Holcus_lanatus",25,"","suitable.conspired.revolting",0
"300","2022-06-30","Nell Pates","Knepp","M","0","111",3,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",50,"","suitable.conspired.revolting",0
"301","2022-06-30","Nell Pates","Knepp","M","0","111",3,"Potentilla reptans","Potentilla_reptans",35,"","suitable.conspired.revolting",0
"302","2022-06-30","Nell Pates","Knepp","M","0","111",3,"White clover","Trifolium_repens",15,"","suitable.conspired.revolting",0
"303","2022-06-30","Nell Pates","Knepp","M","0","111",3,"Stellaria graminea","Stellaria_graminea",10,"","suitable.conspired.revolting",0
"304","2022-06-30","Nell Pates","Knepp","M","0","111",3,"Grass 5 (small Timothy?)","Phleum_bertolonii",2,"","suitable.conspired.revolting",0
"305","2022-06-30","Nell Pates","Knepp","M","0","111",4,"Holcus lanatus","Holcus_lanatus",75,"","suitable.conspired.revolting",0
"306","2022-06-30","Nell Pates","Knepp","M","0","111",4,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",15,"","suitable.conspired.revolting",0
"307","2022-06-30","Nell Pates","Knepp","M","0","111",4,"Grass 5 (small Timothy?)","Phleum_bertolonii",5,"","suitable.conspired.revolting",0
"308","2022-06-30","Nell Pates","Knepp","M","0","111",4,"Potentilla reptans","Potentilla_reptans",10,"","suitable.conspired.revolting",0
"309","2022-06-30","Nell Pates","Knepp","M","0","111",4,"White clover","Trifolium_repens",20,"","suitable.conspired.revolting",0
"310","2022-06-30","Nell Pates","Knepp","M","0","111",4,"Stellaria graminea","Stellaria_graminea",5,"","suitable.conspired.revolting",0
"311","2022-06-30","Nell Pates","Knepp","M","0","113",1,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",95,"","somewhere.sculpting.cookery",0
"312","2022-06-30","Nell Pates","Knepp","M","0","113",1,"Grass 5 (small Timothy?)","Phleum_bertolonii",2,"","somewhere.sculpting.cookery",0
"313","2022-06-30","Nell Pates","Knepp","M","0","113",1,"White clover","Trifolium_repens",50,"","somewhere.sculpting.cookery",0
"314","2022-06-30","Nell Pates","Knepp","M","0","113",2,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",95,"","somewhere.sculpting.cookery",0
"315","2022-06-30","Nell Pates","Knepp","M","0","113",2,"Grass 5 (small Timothy?)","Phleum_bertolonii",2,"","somewhere.sculpting.cookery",0
"316","2022-06-30","Nell Pates","Knepp","M","0","113",2,"White clover","Trifolium_repens",75,"","somewhere.sculpting.cookery",0
"317","2022-06-30","Nell Pates","Knepp","M","0","113",2,"Grass 7 (Lolium sp?)","Lolium_perenne",0.1,"","somewhere.sculpting.cookery",0
"318","2022-06-30","Nell Pates","Knepp","M","0","113",3,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",90,"","somewhere.sculpting.cookery",0
"319","2022-06-30","Nell Pates","Knepp","M","0","113",3,"Grass 5 (small Timothy?)","Phleum_bertolonii",0.1,"","somewhere.sculpting.cookery",0
"320","2022-06-30","Nell Pates","Knepp","M","0","113",3,"Grass 7 (Lolium sp?)","Lolium_perenne",1,"","somewhere.sculpting.cookery",0
"321","2022-06-30","Nell Pates","Knepp","M","0","113",3,"White clover","Trifolium_repens",60,"","somewhere.sculpting.cookery",0
"322","2022-06-30","Nell Pates","Knepp","M","0","113",4,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",80,"","somewhere.sculpting.cookery",0
"323","2022-06-30","Nell Pates","Knepp","M","0","113",4,"Grass 5 (small Timothy?)","Phleum_bertolonii",1,"","somewhere.sculpting.cookery",0
"324","2022-06-30","Nell Pates","Knepp","M","0","113",4,"Grass 7 (Lolium sp?)","Lolium_perenne",3,"","somewhere.sculpting.cookery",0
"325","2022-06-30","Nell Pates","Knepp","M","0","113",4,"White clover","Trifolium_repens",45,"","somewhere.sculpting.cookery",0
"327","2022-06-30","Nell Pates","Knepp","M","0","133",1,"Thistle","Cirsium_arvense",40,"","stacks.nearing.shortens",0
"328","2022-06-30","Nell Pates","Knepp","M","0","133",1,"Holcus lanatus","Holcus_lanatus",40,"","stacks.nearing.shortens",0
"329","2022-06-30","Nell Pates","Knepp","M","0","133",1,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",5,"","stacks.nearing.shortens",0
"330","2022-06-30","Nell Pates","Knepp","M","0","133",1,"dead thistle","Cirsium_arvense",5,"","stacks.nearing.shortens",0
"331","2022-06-30","Nell Pates","Knepp","M","0","133",1,"White clover","Trifolium_repens",4,"","stacks.nearing.shortens",0
"333","2022-06-30","Nell Pates","Knepp","M","0","133",2,"Thistle","Cirsium_arvense",85,"","stacks.nearing.shortens",0
"334","2022-06-30","Nell Pates","Knepp","M","0","133",2,"Holcus lanatus","Holcus_lanatus",15,"","stacks.nearing.shortens",0
"335","2022-06-30","Nell Pates","Knepp","M","0","133",2,"White clover","Trifolium_repens",5,"","stacks.nearing.shortens",0
"336","2022-06-30","Nell Pates","Knepp","M","0","133",2,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",1,"","stacks.nearing.shortens",0
"338","2022-06-30","Nell Pates","Knepp","M","0","133",3,"Thistle","Cirsium_arvense",80,"","stacks.nearing.shortens",0
"339","2022-06-30","Nell Pates","Knepp","M","0","133",3,"Holcus lanatus","Holcus_lanatus",8,"","stacks.nearing.shortens",0
"340","2022-06-30","Nell Pates","Knepp","M","0","133",3,"Grass 6 (big Timothy?)","Phleum_pratense",0.1,"","stacks.nearing.shortens",0
"341","2022-06-30","Nell Pates","Knepp","M","0","133",3,"Grass 5 (small Timothy?)","Phleum_bertolonii",1,"","stacks.nearing.shortens",0
"342","2022-06-30","Nell Pates","Knepp","M","0","133",3,"Grass 4 (soft brome?)","Bromus_hordeaceus",0.1,"","stacks.nearing.shortens",0
"343","2022-06-30","Nell Pates","Knepp","M","0","133",3,"White clover","Trifolium_repens",5,"","stacks.nearing.shortens",0
"345","2022-06-30","Nell Pates","Knepp","M","0","133",4,"Thistle","Cirsium_arvense",55,"","stacks.nearing.shortens",0
"346","2022-06-30","Nell Pates","Knepp","M","0","133",4,"Holcus lanatus","Holcus_lanatus",45,"","stacks.nearing.shortens",0
"347","2022-06-30","Nell Pates","Knepp","M","0","133",4,"Grass 2 (Poa trivialis)","Agrostis_stolonifera",2,"","stacks.nearing.shortens",0
"348","2022-06-30","Nell Pates","Knepp","M","0","133",4,"Hordeum murinum","Hordeum_secalinum",0.1,"","stacks.nearing.shortens",0
"349","2022-06-30","Nell Pates","Knepp","M","0","133",4,"Grass 4 (soft brome?)","Bromus_hordeaceus",1,"","stacks.nearing.shortens",0
"350","2022-06-30","Nell Pates","Knepp","M","0","133",4,"White clover","Trifolium_repens",2,"","stacks.nearing.shortens",0
"352","2022-06-30","Nell Pates","Knepp","M","0","222",1,"Thistle","Cirsium_arvense",50,"","decorator.juggles.lessening",0
"353","2022-06-30","Nell Pates","Knepp","M","0","222",1,"Grass 1 (Timothy)","Phleum_pratense",35,"","decorator.juggles.lessening",0
"354","2022-06-30","Nell Pates","Knepp","M","0","222",1,"Grass 2 (Holcus lanatus?)","Holcus_lanatus",5,"","decorator.juggles.lessening",0
"355","2022-06-30","Nell Pates","Knepp","M","0","222",1,"Grass 3 (Agrostis capillaris?)","Agrostis_capillaris",20,"","decorator.juggles.lessening",0
"357","2022-06-30","Nell Pates","Knepp","M","0","222",1,"Buttercup sp","Ranunculus_acris",1,"","decorator.juggles.lessening",0
"358","2022-06-30","Nell Pates","Knepp","M","0","222",2,"Grass 1 (Timothy)","Phleum_pratense",15,"","decorator.juggles.lessening",0
"359","2022-06-30","Nell Pates","Knepp","M","0","222",2,"Grass 2 (Holcus lanatus?)","Holcus_lanatus",5,"","decorator.juggles.lessening",0
"360","2022-06-30","Nell Pates","Knepp","M","0","222",2,"Grass 3 (Agrostis capillaris?)","Agrostis_capillaris",70,"","decorator.juggles.lessening",0
"361","2022-06-30","Nell Pates","Knepp","M","0","222",2,"Thistle","Cirsium_arvense",15,"","decorator.juggles.lessening",0
"363","2022-06-30","Nell Pates","Knepp","M","0","222",3,"Thistle","Cirsium_arvense",5,"","decorator.juggles.lessening",0
"364","2022-06-30","Nell Pates","Knepp","M","0","222",3,"Grass 1 (Timothy)","Phleum_pratense",30,"","decorator.juggles.lessening",0
"365","2022-06-30","Nell Pates","Knepp","M","0","222",3,"Grass 2 (Holcus lanatus?)","Holcus_lanatus",40,"","decorator.juggles.lessening",0
"366","2022-06-30","Nell Pates","Knepp","M","0","222",3,"Grass 3 (Agrostis capillaris?)","Agrostis_capillaris",25,"","decorator.juggles.lessening",0
"368","2022-06-30","Nell Pates","Knepp","M","0","222",4,"Thistle","Cirsium_arvense",15,"","decorator.juggles.lessening",0
"369","2022-06-30","Nell Pates","Knepp","M","0","222",4,"Grass 1 (Timothy)","Phleum_pratense",15,"","decorator.juggles.lessening",0
"370","2022-06-30","Nell Pates","Knepp","M","0","222",4,"Grass 3 (Agrostis capillaris?)","Agrostis_capillaris",75,"","decorator.juggles.lessening",0
"372","2022-07-01","Nell Pates","Knepp","N","0","333",1,"Willow sp","Salix_fragilis",0,"overhang - 80","files.idealist.everybody",0
"373","2022-07-01","Nell Pates","Knepp","N","0","333",1,"Mint","Mentha_aquatica",75,"","files.idealist.everybody",0
"374","2022-07-01","Nell Pates","Knepp","N","0","333",1,"Nettle","Urtica_dioica",25,"","files.idealist.everybody",0
"375","2022-07-01","Nell Pates","Knepp","N","0","333",1,"H. lanatus","Holcus_lanatus",80,"","files.idealist.everybody",0
"376","2022-07-01","Nell Pates","Knepp","N","0","333",1,"Buttercup 1","Ranunculus_repens",5,"","files.idealist.everybody",0
"377","2022-07-01","Nell Pates","Knepp","N","0","333",1,"Buttercup 2","Ranunculus_acris",0,"","",0
"378","2022-07-01","Nell Pates","Knepp","N","0","333",1,"Bindweed","Calystegia_sepium",2,"","files.idealist.everybody",0
"380","2022-07-01","Nell Pates","Knepp","N","0","333",2,"Willow sp","Salix_fragilis",0,"overhang - 80","files.idealist.everybody",0
"381","2022-07-01","Nell Pates","Knepp","N","0","333",2,"Mint","Mentha_aquatica",20,"","files.idealist.everybody",0
"382","2022-07-01","Nell Pates","Knepp","N","0","333",2,"H. lanatus","Holcus_lanatus",85,"","files.idealist.everybody",0
"383","2022-07-01","Nell Pates","Knepp","N","0","333",2,"Grass 2 - Agrostis capillaris","Agrostis_capillaris",2,"","files.idealist.everybody",0
"384","2022-07-01","Nell Pates","Knepp","N","0","333",2,"Buttercup r repens","Ranunculus_repens",5,"","files.idealist.everybody",0
"385","2022-07-01","Nell Pates","Knepp","N","0","333",2,"Bindweed","Calystegia_sepium",20,"","files.idealist.everybody",0
"387","2022-07-01","Nell Pates","Knepp","N","0","333",2,"Big rumex sp","Rumex_obtusifolius",20,"","files.idealist.everybody",0
"388","2022-07-01","Nell Pates","Knepp","N","0","333",2,"Umbellifer sp. water dropwort?","Oenanthe_crocata",13,"","files.idealist.everybody",0
"389","2022-07-01","Nell Pates","Knepp","N","0","333",3,"Willow sp","Salix_fragilis",0,"overhang - 80","files.idealist.everybody",0
"390","2022-07-01","Nell Pates","Knepp","N","0","333",3,"Mint","Mentha_aquatica",11,"","files.idealist.everybody",0
"391","2022-07-01","Nell Pates","Knepp","N","0","333",3,"Nettle","Urtica_dioica",8,"","files.idealist.everybody",0
"392","2022-07-01","Nell Pates","Knepp","N","0","333",3,"H. lanatus","Holcus_lanatus",95,"","files.idealist.everybody",0
"393","2022-07-01","Nell Pates","Knepp","N","0","333",3,"Grass 2 - Agrostis capillaris","Agrostis_capillaris",2,"","files.idealist.everybody",0
"394","2022-07-01","Nell Pates","Knepp","N","0","333",3,"Buttercup r repens","Ranunculus_repens",15,"","files.idealist.everybody",0
"396","2022-07-01","Nell Pates","Knepp","N","0","333",3,"Big rumex sp","Rumex_obtusifolius",20,"","files.idealist.everybody",0
"397","2022-07-01","Nell Pates","Knepp","N","0","333",4,"Willow sp","Salix_fragilis",0,"overhang - 80","files.idealist.everybody",0
"398","2022-07-01","Nell Pates","Knepp","N","0","333",4,"Mint","Mentha_aquatica",60,"","files.idealist.everybody",0
"399","2022-07-01","Nell Pates","Knepp","N","0","333",4,"Nettle","Urtica_dioica",5,"","files.idealist.everybody",0
"400","2022-07-01","Nell Pates","Knepp","N","0","333",4,"H. lanatus","Holcus_lanatus",65,"","files.idealist.everybody",0
"401","2022-07-01","Nell Pates","Knepp","N","0","333",4,"Grass 2 - Agrostis capillaris","Agrostis_capillaris",2,"","files.idealist.everybody",0
"402","2022-07-01","Nell Pates","Knepp","N","0","333",4,"Buttercup r repens","Ranunculus_repens",25,"","files.idealist.everybody",0
"403","2022-07-01","Nell Pates","Knepp","N","0","333",4,"Big rumex sp","Rumex_obtusifolius",20,"","files.idealist.everybody",0
"404","2022-07-01","Nell Pates","Knepp","N","0","333",4,"White clover","Trifolium_repens",5,"","files.idealist.everybody",0
"405","2022-07-01","Nell Pates","Knepp","N","0","333",4,"Bindweed","Calystegia_sepium",8,"","files.idealist.everybody",0
"407","2022-07-01","Nell Pates","Knepp","N","0","133",1,"Dry grass sp?","Poa_trivialis",50,"","trail.clocks.culling",0
"408","2022-07-01","Nell Pates","Knepp","N","0","133",1,"Fluffy, purple stem","Epilobium_parviflorum",9,"","trail.clocks.culling",0
"409","2022-07-01","Nell Pates","Knepp","N","0","133",1,"Big leaves and flower spikes","Plantago_major",60,"","trail.clocks.culling",0
"410","2022-07-01","Nell Pates","Knepp","N","0","133",1,"Tiny blue","Veronica_arvensis",2,"","trail.clocks.culling",0
"411","2022-07-01","Nell Pates","Knepp","N","0","133",1,"Buttercup r repens","Ranunculus_repens",15,"","trail.clocks.culling",0
"412","2022-07-01","Nell Pates","Knepp","N","0","133",1,"Senesced Stellaria graminea?","Cerastium_fontanum",5,"senesced","trail.clocks.culling",0
"413","2022-07-01","Nell Pates","Knepp","N","0","133",1,"Red stem shrub","Epilobium_ciliatum",3,"","trail.clocks.culling",0
"414","2022-07-01","Nell Pates","Knepp","N","0","133",1,"Rumex sp? big one","Rumex_obtusifolius",0,"overhang - 5","trail.clocks.culling",0
"417","2022-07-01","Nell Pates","Knepp","N","0","133",2,"Dry grass sp?","Poa_trivialis",15,"","trail.clocks.culling",0
"418","2022-07-01","Nell Pates","Knepp","N","0","133",2,"Fluffy, purple stem","Epilobium_parviflorum",20,"","trail.clocks.culling",0
"419","2022-07-01","Nell Pates","Knepp","N","0","133",2,"Big leaves and flower spikes","Plantago_major",45,"","trail.clocks.culling",0
"420","2022-07-01","Nell Pates","Knepp","N","0","133",2,"Tiny blue","Veronica_arvensis",5,"","trail.clocks.culling",0
"421","2022-07-01","Nell Pates","Knepp","N","0","133",2,"Buttercup r repens","Ranunculus_repens",15,"","trail.clocks.culling",0
"422","2022-07-01","Nell Pates","Knepp","N","0","133",2,"Senesced S graminea?","Cerastium_fontanum",8,"senesced","trail.clocks.culling",0
"423","2022-07-01","Nell Pates","Knepp","N","0","133",2,"Red stem shrub","Epilobium_ciliatum",1,"","trail.clocks.culling",0
"424","2022-07-01","Nell Pates","Knepp","N","0","133",2,"Rumex sp? big one","Rumex_obtusifolius",25,"","trail.clocks.culling",0
"425","2022-07-01","Nell Pates","Knepp","N","0","133",2,"Tiny purple","Epilobium_ciliatum",0.1,"only photos","trail.clocks.culling",0
"428","2022-07-01","Nell Pates","Knepp","N","0","133",3,"Fluffy, purple stem","Epilobium_parviflorum",5,"","trail.clocks.culling",0
"429","2022-07-01","Nell Pates","Knepp","N","0","133",3,"Big leaves and flower spikes","Plantago_major",50,"","trail.clocks.culling",0
"430","2022-07-01","Nell Pates","Knepp","N","0","133",3,"Tiny blue","Veronica_arvensis",5,"","trail.clocks.culling",0
"431","2022-07-01","Nell Pates","Knepp","N","0","133",3,"Buttercup r repens","Ranunculus_repens",6,"","trail.clocks.culling",0
"432","2022-07-01","Nell Pates","Knepp","N","0","133",3,"Red stem shrub","Epilobium_ciliatum",1,"","trail.clocks.culling",0
"433","2022-07-01","Nell Pates","Knepp","N","0","133",3,"Daisy sp “mossy leaves”","Tripleurospermum_inodorum",25,"","trail.clocks.culling",0
"434","2022-07-01","Nell Pates","Knepp","N","0","133",3,"8-point starburst","Sherardia_arvensis",20,"","trail.clocks.culling",0
"437","2022-07-01","Nell Pates","Knepp","N","0","133",3,"Ragwort","Senecio_jacobaea",3,"","trail.clocks.culling",0
"438","2022-07-01","Nell Pates","Knepp","N","0","133",4,"Fluffy, purple stem","Epilobium_parviflorum",5,"","trail.clocks.culling",0
"439","2022-07-01","Nell Pates","Knepp","N","0","133",4,"Big leaves and flower spikes","Plantago_major",75,"","trail.clocks.culling",0
"440","2022-07-01","Nell Pates","Knepp","N","0","133",4,"Tiny blue","Veronica_arvensis",1,"","trail.clocks.culling",0
"441","2022-07-01","Nell Pates","Knepp","N","0","133",4,"Buttercup r repens","Ranunculus_repens",10,"","trail.clocks.culling",0
"442","2022-07-01","Nell Pates","Knepp","N","0","133",4,"Daisy sp “mossy leaves”","Tripleurospermum_inodorum",15,"","trail.clocks.culling",0
"443","2022-07-01","Nell Pates","Knepp","N","0","133",4,"8-point starburst","Sherardia_arvensis",6,"","trail.clocks.culling",0
"445","2022-07-01","Nell Pates","Knepp","N","0","133",4,"Living grass - P. triv?","Agrostis_capillaris",15,"","trail.clocks.culling",0
"446","2022-07-01","Nell Pates","Knepp","N","0","133",4,"Red stem shrub","Epilobium_ciliatum",1,"","trail.clocks.culling",0
"447","2022-07-01","Nell Pates","Knepp","N","0","133",4,"Leaves like a thistle but yellow flowers","Sonchus_asper",20,"","trail.clocks.culling",0
"448","2022-07-01","Nell Pates","Knepp","N","0","122",1,"Hazel","Corylus_avellana",0,"overhang - 100","breezy.nuance.headlight",0
"449","2022-07-01","Nell Pates","Knepp","N","0","122",1,"Hawthorn ","Crataegus_monogyna",0,"","breezy.nuance.headlight",0
"450","2022-07-01","Nell Pates","Knepp","N","0","122",1,"bramble","Rubus_fruticosus",35,"","breezy.nuance.headlight",0
"451","2022-07-01","Nell Pates","Knepp","N","0","122",1,"sedge - carex sp","Carex_sylvatica",25,"","breezy.nuance.headlight",0
"455","2022-07-01","Nell Pates","Knepp","N","0","122",1,"small leafy","Circaea_lutetiansa",2,"","breezy.nuance.headlight",0
"456","2022-07-01","Nell Pates","Knepp","N","0","122",2,"Hazel","Corylus_avellana",0,"overhang - 100","breezy.nuance.headlight",0
"457","2022-07-01","Nell Pates","Knepp","N","0","122",2,"bramble","Rubus_fruticosus",20,"","breezy.nuance.headlight",0
"458","2022-07-01","Nell Pates","Knepp","N","0","122",2,"sedge - carex sp","Carex_sylvatica",5,"","breezy.nuance.headlight",0
"461","2022-07-01","Nell Pates","Knepp","N","0","122",2,"small leafy","Circaea_lutetiansa",6,"","breezy.nuance.headlight",0
"462","2022-07-01","Nell Pates","Knepp","N","0","122",3,"Hazel","Corylus_avellana",0,"overhang - 100","breezy.nuance.headlight",0
"463","2022-07-01","Nell Pates","Knepp","N","0","122",3,"Hawthorn ","Crataegus_monogyna",0,"","breezy.nuance.headlight",0
"464","2022-07-01","Nell Pates","Knepp","N","0","122",3,"bramble","Rubus_fruticosus",15,"","breezy.nuance.headlight",0
"465","2022-07-01","Nell Pates","Knepp","N","0","122",3,"sedge - carex sp","Carex_sylvatica",2,"","breezy.nuance.headlight",0
"470","2022-07-01","Nell Pates","Knepp","N","0","122",3,"small leafy","Circaea_lutetiansa",5,"","breezy.nuance.headlight",0
"471","2022-07-01","Nell Pates","Knepp","N","0","122",3,"Buttercup sp?","Geum_urbanum",0,"overhang","breezy.nuance.headlight",0
"472","2022-07-01","Nell Pates","Knepp","N","0","122",4,"Hazel","Corylus_avellana",0,"overhang - 100","breezy.nuance.headlight",0
"473","2022-07-01","Nell Pates","Knepp","N","0","122",4,"bramble","Rubus_fruticosus",5,"+ 10 overhang","breezy.nuance.headlight",0
"474","2022-07-01","Nell Pates","Knepp","N","0","122",4,"sedge - carex sp","Carex_sylvatica",20,"","breezy.nuance.headlight",0
"480","2022-07-01","Nell Pates","Knepp","N","0","122",4,"small leafy","Circaea_lutetiansa",4,"","breezy.nuance.headlight",0
"481","2022-07-04","Nell Pates","Knepp","N","0","112",1,"Grass 1 - Agrostis capillaris","Agrostis_capillaris",45,"","darts.sleepers.giggled",0
"482","2022-07-04","Nell Pates","Knepp","N","0","112",1,"Grass 2 - Holcus lanatus","Holcus_lanatus",35,"","darts.sleepers.giggled",0
"483","2022-07-04","Nell Pates","Knepp","N","0","112",1,"Dandelion","Taraxacum_officinale",5,"","darts.sleepers.giggled",0
"484","2022-07-04","Nell Pates","Knepp","N","0","112",1,"stiff square stem","Odontites_verna",2,"","darts.sleepers.giggled",0
"487","2022-07-04","Nell Pates","Knepp","N","0","112",1,"little fluffy","Cirsium_dissectum",0.5,"","darts.sleepers.giggled",0
"489","2022-07-04","Nell Pates","Knepp","N","0","112",2,"Grass 1 - Agrostis capillaris","Agrostis_capillaris",15,"","darts.sleepers.giggled",0
"490","2022-07-04","Nell Pates","Knepp","N","0","112",2,"Grass 2 - Holcus lanatus","Holcus_lanatus",50,"","darts.sleepers.giggled",0
"491","2022-07-04","Nell Pates","Knepp","N","0","112",2,"Grass 3 - Lolium perenne","Lolium_perenne",5,"","darts.sleepers.giggled",0
"492","2022-07-04","Nell Pates","Knepp","N","0","112",2,"Dandelion","Taraxacum_officinale",10,"","darts.sleepers.giggled",0
"493","2022-07-04","Nell Pates","Knepp","N","0","112",2,"stiff square stem","Odontites_verna",4,"","darts.sleepers.giggled",0
"494","2022-07-04","Nell Pates","Knepp","N","0","112",2,"something vetchy","Vicia_hirsuta",0.1,"","darts.sleepers.giggled",0
"498","2022-07-04","Nell Pates","Knepp","N","0","112",2,"R repens","Ranunculus_repens",5,"","darts.sleepers.giggled",0
"499","2022-07-04","Nell Pates","Knepp","N","0","112",3,"Grass 1 - Agrostis capillaris","Agrostis_capillaris",10,"","darts.sleepers.giggled",0
"500","2022-07-04","Nell Pates","Knepp","N","0","112",3,"Grass 2 - Holcus lanatus","Holcus_lanatus",40,"","darts.sleepers.giggled",0
"501","2022-07-04","Nell Pates","Knepp","N","0","112",3,"Grass 3 - Lolium perenne","Lolium_perenne",8,"","darts.sleepers.giggled",0
"502","2022-07-04","Nell Pates","Knepp","N","0","112",3,"Dandelion","Taraxacum_officinale",2,"","darts.sleepers.giggled",0
"503","2022-07-04","Nell Pates","Knepp","N","0","112",3,"stiff square stem","Odontites_verna",30,"","darts.sleepers.giggled",0
"504","2022-07-04","Nell Pates","Knepp","N","0","112",3,"vetch","Vicia_hirsuta",1,"","darts.sleepers.giggled",0
"505","2022-07-04","Nell Pates","Knepp","N","0","112",3,"Ragwort","Senecio_jacobaea",2,"","darts.sleepers.giggled",0
"509","2022-07-04","Nell Pates","Knepp","N","0","112",4,"Grass 1 - Agrostis capillaris","Agrostis_capillaris",2,"","darts.sleepers.giggled",0
"510","2022-07-04","Nell Pates","Knepp","N","0","112",4,"Grass 2 - Holcus lanatus","Holcus_lanatus",30,"","darts.sleepers.giggled",0
"511","2022-07-04","Nell Pates","Knepp","N","0","112",4,"Grass 3 - Lolium perenne","Lolium_perenne",60,"","darts.sleepers.giggled",0
"512","2022-07-04","Nell Pates","Knepp","N","0","112",4,"Dandelion","Taraxacum_officinale",8,"","darts.sleepers.giggled",0
