"","Date","Recorder","Site","Block","Plot","Quadrant","Species","Cover","Notes","survey"
"368","25/6/2024","BB","Boothby","S",311,3,"Epilobium_hirsutum",20,"","A"
"370","25/6/2024","BB","Boothby","S",311,4,"Epilobium_ciliatum",40,"","A"
"371","25/6/2024","BB","Boothby","S",311,4,"Epilobium_parviflorum",5,"","A"
"372","25/6/2024","BB","Boothby","S",311,4,"Epilobium_hirsutum",15,"","A"
"374","25/6/2024","BB","Boothby","S",311,4,"Helminthotheca_echioides",2,"","A"
"375","25/6/2024","BB","Boothby","S",313,1,"Poa_trivialis",15,"","A"
"376","25/6/2024","BB","Boothby","S",313,1,"Epilobium_ciliatum",15,"","A"
"377","25/6/2024","BB","Boothby","S",313,1,"Bromus_hordeaceus",55,"","A"
"378","25/6/2024","BB","Boothby","S",313,1,"Epilobium_parviflorum",5,"","A"
"379","25/6/2024","BB","Boothby","S",313,1,"Helminthotheca_echioides",5,"","A"
"381","25/6/2024","BB","Boothby","S",313,2,"Poa_trivialis",10,"","A"
"382","25/6/2024","BB","Boothby","S",313,2,"Epilobium_ciliatum",10,"","A"
"383","25/6/2024","BB","Boothby","S",313,2,"Epilobium_parviflorum",30,"","A"
"384","25/6/2024","BB","Boothby","S",313,2,"Cirsium_vulgare",5,"","A"
"385","25/6/2024","BB","Boothby","S",313,2,"Bromus_hordeaceus",20,"","A"
"387","25/6/2024","BB","Boothby","S",313,3,"Poa_trivialis",10,"","A"
"388","25/6/2024","BB","Boothby","S",313,3,"Epilobium_ciliatum",70,"","A"
"389","25/6/2024","BB","Boothby","S",313,3,"Epilobium_parviflorum",5,"","A"
"390","25/6/2024","BB","Boothby","S",313,3,"Cirsium_vulgare",5,"","A"
"392","25/6/2024","BB","Boothby","S",313,4,"Epilobium_ciliatum",75,"","A"
"393","25/6/2024","BB","Boothby","S",313,4,"Epilobium_parviflorum",5,"","A"
"395","25/6/2024","BB","Boothby","S",312,1,"Epilobium_ciliatum",30,"","A"
"396","25/6/2024","BB","Boothby","S",312,1,"Epilobium_hirsutum",25,"","A"
"397","25/6/2024","BB","Boothby","S",312,1,"Epilobium_parviflorum",30,"","A"
"398","25/6/2024","BB","Boothby","S",312,1,"Holcus_lanatus",25,"","A"
"399","25/6/2024","BB","Boothby","S",312,1,"Epilobium_montanum",10,"","A"
"401","25/6/2024","BB","Boothby","S",312,2,"Epilobium_ciliatum",5,"","A"
"402","25/6/2024","BB","Boothby","S",312,2,"Epilobium_hirsutum",30,"","A"
"403","25/6/2024","BB","Boothby","S",312,2,"Epilobium_parviflorum",20,"","A"
"404","25/6/2024","BB","Boothby","S",312,2,"Holcus_lanatus",10,"","A"
"406","25/6/2024","BB","Boothby","S",312,2,"Epilobium_tetragonum",5,"","A"
"407","25/6/2024","BB","Boothby","S",312,3,"Epilobium_ciliatum",15,"","A"
"408","25/6/2024","BB","Boothby","S",312,3,"Epilobium_hirsutum",55,"","A"
"409","25/6/2024","BB","Boothby","S",312,3,"Epilobium_parviflorum",5,"","A"
"410","25/6/2024","BB","Boothby","S",312,3,"Holcus_lanatus",15,"","A"
"411","25/6/2024","BB","Boothby","S",312,3,"Jacobaea_vulgaris",5,"","A"
"413","25/6/2024","BB","Boothby","S",312,4,"Epilobium_ciliatum",5,"","A"
"414","25/6/2024","BB","Boothby","S",312,4,"Epilobium_hirsutum",40,"","A"
"415","25/6/2024","BB","Boothby","S",312,4,"Epilobium_parviflorum",5,"","A"
"416","25/6/2024","BB","Boothby","S",312,4,"Holcus_lanatus",20,"","A"
"418","25/6/2024","BB","Boothby","S",321,1,"Dactylis_glomerata",50,"","A"
"419","25/6/2024","BB","Boothby","S",321,1,"Poa_trivialis",10,"","A"
"420","25/6/2024","BB","Boothby","S",321,1,"Arrhenatherum_elatius",20,"","A"
"421","25/6/2024","BB","Boothby","S",321,1,"Rumex_conglomeratus",5,"","A"
"423","25/6/2024","BB","Boothby","S",321,2,"Dactylis_glomerata",65,"","A"
"424","25/6/2024","BB","Boothby","S",321,2,"Poa_trivialis",15,"","A"
"425","25/6/2024","BB","Boothby","S",321,2,"Arrhenatherum_elatius",15,"","A"
"426","25/6/2024","BB","Boothby","S",321,2,"Urtica_dioica",10,"","A"
"428","25/6/2024","BB","Boothby","S",321,3,"Dactylis_glomerata",40,"","A"
"429","25/6/2024","BB","Boothby","S",321,3,"Poa_trivialis",5,"","A"
"430","25/6/2024","BB","Boothby","S",321,3,"Arrhenatherum_elatius",30,"","A"
"431","25/6/2024","BB","Boothby","S",321,3,"Urtica_dioica",20,"","A"
"432","25/6/2024","BB","Boothby","S",321,3,"Rumex_conglomeratus",10,"","A"
"434","25/6/2024","BB","Boothby","S",321,4,"Dactylis_glomerata",55,"","A"
"435","25/6/2024","BB","Boothby","S",321,4,"Arrhenatherum_elatius",25,"","A"
"436","25/6/2024","BB","Boothby","S",321,4,"Urtica_dioica",25,"","A"
"437","25/6/2024","BB","Boothby","S",321,4,"Rumex_conglomeratus",15,"","A"
"439","26/6/2024","TM","Boothby","NW",212,1,"Centaurea_nigra",25,"Common knapweed","A"
"440","26/6/2024","TM","Boothby","NW",212,1,"Cynosurus_cristatus",15,"Crested dogs-tail","A"
"441","26/6/2024","TM","Boothby","NW",212,1,"Lolium_perenne",10,"Perennial ryegrass","A"
"442","26/6/2024","TM","Boothby","NW",212,1,"Poa_pratensis",5,"Smooth meadow grass","A"
"443","26/6/2024","TM","Boothby","NW",212,1,"Leucanthemum_vulgare",2,"Ox-eye daisy","A"
"444","26/6/2024","TM","Boothby","NW",212,1,"Phleum_pratense",15,"Timothy","A"
"445","26/6/2024","TM","Boothby","NW",212,1,"Prunus_spinosa",7,"blackthorn","A"
"446","26/6/2024","TM","Boothby","NW",212,1,"Lotus_pedunculatus",3,"Greater birds-foot-treefoil","A"
"448","26/6/2024","TM","Boothby","NW",212,2,"Centaurea_nigra",30,"","A"
"449","26/6/2024","TM","Boothby","NW",212,2,"Cynosurus_cristatus",10,"","A"
"450","26/6/2024","TM","Boothby","NW",212,2,"Poa_pratensis",5,"","A"
"451","26/6/2024","TM","Boothby","NW",212,2,"Leucanthemum_vulgare",10,"","A"
"452","26/6/2024","TM","Boothby","NW",212,2,"Phleum_pratense",2,"","A"
"453","26/6/2024","TM","Boothby","NW",212,2,"Agrostis_stolonifera",2,"","A"
"454","26/6/2024","TM","Boothby","NW",212,2,"Lotus_pedunculatus",3,"","A"
"455","26/6/2024","TM","Boothby","NW",212,2,"Rumex_conglomeratus",4,"","A"
"456","26/6/2024","TM","Boothby","NW",212,2,"Festuca_rubra",4,"","A"
"458","26/6/2024","TM","Boothby","NW",212,3,"Centaurea_nigra",35,"","A"
"459","26/6/2024","TM","Boothby","NW",212,3,"Cynosurus_cristatus",15,"","A"
"460","26/6/2024","TM","Boothby","NW",212,3,"Lolium_perenne",5,"","A"
"461","26/6/2024","TM","Boothby","NW",212,3,"Poa_pratensis",25,"","A"
"462","26/6/2024","TM","Boothby","NW",212,3,"Leucanthemum_vulgare",2,"","A"
"463","26/6/2024","TM","Boothby","NW",212,3,"Phleum_pratense",5,"","A"
"464","26/6/2024","TM","Boothby","NW",212,3,"Prunus_spinosa",5,"","A"
"465","26/6/2024","TM","Boothby","NW",212,3,"Rumex_conglomeratus",2,"","A"
"466","26/6/2024","TM","Boothby","NW",212,3,"Lotus_pedunculatus",5,"","A"
"468","26/6/2024","TM","Boothby","NW",212,4,"Centaurea_nigra",30,"","A"
"469","26/6/2024","TM","Boothby","NW",212,4,"Cynosurus_cristatus",10,"","A"
"470","26/6/2024","TM","Boothby","NW",212,4,"Lolium_perenne",2,"","A"
"471","26/6/2024","TM","Boothby","NW",212,4,"Poa_pratensis",2,"","A"
"472","26/6/2024","TM","Boothby","NW",212,4,"Leucanthemum_vulgare",5,"","A"
"473","26/6/2024","TM","Boothby","NW",212,4,"Phleum_pratense",5,"","A"
"474","26/6/2024","TM","Boothby","NW",212,4,"Lotus_pedunculatus",3,"","A"
"475","26/6/2024","TM","Boothby","NW",212,4,"Festuca_rubra",3,"","A"
"477","26/6/2024","TM","Boothby","NW",211,1,"Alopecurus_myosuroides",30,"Black twitch","A"
"478","26/6/2024","TM","Boothby","NW",211,1,"Triticum_aestivum",30,"Wheat","A"
"479","26/6/2024","TM","Boothby","NW",211,1,"Bromus_hordeaceus",1,"Soft Brome","A"
"480","26/6/2024","TM","Boothby","NW",211,1,"Epilobium_tetragonum",2,"Square stalked willowherb","A"
"482","26/6/2024","TM","Boothby","NW",211,2,"Alopecurus_myosuroides",15,"Black twitch","A"
"483","26/6/2024","TM","Boothby","NW",211,2,"Triticum_aestivum",30,"Whear","A"
"484","26/6/2024","TM","Boothby","NW",211,2,"Senecio_vulgaris",5,"Groundsel","A"
"485","26/6/2024","TM","Boothby","NW",211,2,"Epilobium_hirsutum",2,"Great hairy willow-herb","A"
"487","26/6/2024","TM","Boothby","NW",211,3,"Triticum_aestivum",30,"","A"
"488","26/6/2024","TM","Boothby","NW",211,3,"Senecio_vulgaris",3,"","A"
"490","26/6/2024","TM","Boothby","NW",211,4,"Triticum_aestivum",35,"","A"
"491","26/6/2024","TM","Boothby","NW",211,4,"Epilobium_hirsutum",5,"","A"
"493","26/6/2024","TM","Boothby","NW",222,1,"Brassica_rapa",7,"Field mustard","A"
"494","26/6/2024","TM","Boothby","NW",222,1,"Phacelia_tanacetifolia",15,"Fiddleneck","A"
"495","26/6/2024","TM","Boothby","NW",222,1,"Vicia_sativa",15,"Common vetch","A"
"496","26/6/2024","TM","Boothby","NW",222,1,"Epilobium_hirsutum",5,"Great hairy willow-herb","A"
"497","26/6/2024","TM","Boothby","NW",222,1,"Fagopyrum_esculentum_",5,"Buckwheat","A"
"498","26/6/2024","TM","Boothby","NW",222,1,"Trifolium_alexandrinum",3,"Egyptian Clover","A"
"499","26/6/2024","TM","Boothby","NW",222,1,"Trifolium_incarnatum",2,"Crimson Clover","A"
"500","26/6/2024","TM","Boothby","NW",222,1,"Atriplex_patula",5,"Common orache","A"
"501","26/6/2024","TM","Boothby","NW",222,1,"Camelina_sativa",5,"German sesame","A"
"502","26/6/2024","TM","Boothby","NW",222,1,"Senecio_vulgaris",2,"Groundsel","A"
"504","26/6/2024","TM","Boothby","NW",222,1,"Matricaria_chamomilla",10,"Hungarian chamomile","A"
"505","26/6/2024","TM","Boothby","NW",222,2,"Brassica_rapa",1,"","A"
"506","26/6/2024","TM","Boothby","NW",222,2,"Phacelia_tanacetifolia",10,"","A"
"507","26/6/2024","TM","Boothby","NW",222,2,"Vicia_sativa",8,"","A"
"508","26/6/2024","TM","Boothby","NW",222,2,"Fagopyrum_esculentum_",2,"","A"
"509","26/6/2024","TM","Boothby","NW",222,2,"Trifolium_alexandrinum",3,"","A"
"510","26/6/2024","TM","Boothby","NW",222,2,"Camelina_sativa",4,"","A"
"511","26/6/2024","TM","Boothby","NW",222,2,"Senecio_vulgaris",3,"","A"
"512","26/6/2024","TM","Boothby","NW",222,2,"Matricaria_chamomilla",10,"","A"
"513","26/6/2024","TM","Boothby","NW",222,2,"Triticum_aestivum",10,"","A"
"515","26/6/2024","TM","Boothby","NW",222,3,"Brassica_rapa",5,"","A"
"516","26/6/2024","TM","Boothby","NW",222,3,"Phacelia_tanacetifolia",2,"","A"
"517","26/6/2024","TM","Boothby","NW",222,3,"Fagopyrum_esculentum_",2,"","A"
"518","26/6/2024","TM","Boothby","NW",222,3,"Trifolium_alexandrinum",5,"","A"
"519","26/6/2024","TM","Boothby","NW",222,3,"Trifolium_incarnatum",2,"","A"
"520","26/6/2024","TM","Boothby","NW",222,3,"Camelina_sativa",2,"","A"
"521","26/6/2024","TM","Boothby","NW",222,3,"Senecio_vulgaris",5,"","A"
"522","26/6/2024","TM","Boothby","NW",222,3,"Matricaria_chamomilla",45,"","A"
"523","26/6/2024","TM","Boothby","NW",222,3,"Sonchus_asper_",5,"","A"
"525","26/6/2024","TM","Boothby","NW",222,4,"Phacelia_tanacetifolia",8,"","A"
"526","26/6/2024","TM","Boothby","NW",222,4,"Vicia_sativa",7,"","A"
"527","26/6/2024","TM","Boothby","NW",222,4,"Fagopyrum_esculentum_",3,"","A"
"528","26/6/2024","TM","Boothby","NW",222,4,"Trifolium_alexandrinum",5,"","A"
"529","26/6/2024","TM","Boothby","NW",222,4,"Senecio_vulgaris",2,"","A"
"531","26/6/2024","TM","Boothby","NW",222,4,"Matricaria_chamomilla",40,"","A"
"532","26/6/2024","TM","Boothby","NW",213,1,"Brassica_rapa",3,"","A"
"533","26/6/2024","TM","Boothby","NW",213,1,"Triticum_aestivum",2,"","A"
"534","26/6/2024","TM","Boothby","NW",213,1,"Phacelia_tanacetifolia",3,"","A"
"535","26/6/2024","TM","Boothby","NW",213,1,"Trifolium_alexandrinum",10,"","A"
"536","26/6/2024","TM","Boothby","NW",213,1,"Senecio_vulgaris",5,"","A"
"537","26/6/2024","TM","Boothby","NW",213,1,"Vicia_sativa",3,"","A"
"539","26/6/2024","TM","Boothby","NW",213,1,"Trifolium_incarnatum",5,"","A"
"540","26/6/2024","TM","Boothby","NW",213,2,"Bromus_hordeaceus",10,"","A"
"541","26/6/2024","TM","Boothby","NW",213,2,"Brassica_rapa",2,"","A"
"542","26/6/2024","TM","Boothby","NW",213,2,"Vicia_sativa",10,"","A"
"543","26/6/2024","TM","Boothby","NW",213,2,"Trifolium_alexandrinum",5,"","A"
"544","26/6/2024","TM","Boothby","NW",213,2,"Fagopyrum_esculentum_",2,"","A"
"545","26/6/2024","TM","Boothby","NW",213,2,"Epilobium_tetragonum",1,"Sample 3","A"
"547","26/6/2024","TM","Boothby","NW",213,3,"Triticum_aestivum",2,"","A"
"548","26/6/2024","TM","Boothby","NW",213,3,"Bromus_hordeaceus",5,"","A"
"549","26/6/2024","TM","Boothby","NW",213,3,"Vicia_sativa",8,"","A"
"550","26/6/2024","TM","Boothby","NW",213,3,"Trifolium_alexandrinum",2,"","A"
"551","26/6/2024","TM","Boothby","NW",213,3,"Hypochaeris_glabra",1,"","A"
"552","26/6/2024","TM","Boothby","NW",213,3,"Phacelia_tanacetifolia",1,"","A"
"553","26/6/2024","TM","Boothby","NW",213,3,"Senecio_vulgaris",2,"","A"
"554","26/6/2024","TM","Boothby","NW",213,3,"Trifolium_incarnatum",1,"","A"
"556","26/6/2024","TM","Boothby","NW",213,4,"Bromus_hordeaceus",30,"","A"
"557","26/6/2024","TM","Boothby","NW",213,4,"Trifolium_alexandrinum",5,"","A"
"558","26/6/2024","TM","Boothby","NW",213,4,"Vicia_sativa",10,"","A"
"559","26/6/2024","TM","Boothby","NW",213,4,"Phacelia_tanacetifolia",1,"","A"
"561","26/6/2024","TM","Boothby","NW",233,1,"Epilobium_coloratum",1,"","A"
"562","26/6/2024","TM","Boothby","NW",233,1,"Alopecurus_myosuroides",5,"","A"
"564","26/6/2024","TM","Boothby","NW",233,1,"Sonchus_asper",20,"","A"
"566","26/6/2024","TM","Boothby","NW",233,2,"Epilobium_coloratum",5,"","A"
"567","26/6/2024","TM","Boothby","NW",233,2,"Alopecurus_myosuroides",5,"","A"
"569","26/6/2024","TM","Boothby","NW",233,2,"Senecio_vulgaris",1,"","A"
"570","26/6/2024","TM","Boothby","NW",233,3,"Epilobium_coloratum",10,"","A"
"571","26/6/2024","TM","Boothby","NW",233,3,"Epilobium_parviflorum",5,"","A"
"573","26/6/2024","TM","Boothby","NW",233,4,"Senecio_vulgaris",1,"","A"
"574","26/6/2024","TM","Boothby","NW",233,4,"Epilobium_coloratum",10,"","A"
"575","26/6/2024","TM","Boothby","NW",233,4,"Vicia_faba",30,"","A"
"577","26/6/2024","TM","Boothby","NW",322,1,"Vicia_faba",20,"","A"
"578","26/6/2024","TM","Boothby","NW",322,1,"Lolium_perenne",35,"","A"
"579","26/6/2024","TM","Boothby","NW",322,1,"Phleum_pratense",10,"","A"
"580","26/6/2024","TM","Boothby","NW",322,1,"Triticum_aestivum",5,"","A"
"581","26/6/2024","TM","Boothby","NW",322,1,"Trifolium_hybridum",5,"","A"
"582","26/6/2024","TM","Boothby","NW",322,1,"Epilobium_parviflorum",3,"","A"
"583","26/6/2024","TM","Boothby","NW",322,2,"Lolium_perenne",30,"","A"
"584","26/6/2024","TM","Boothby","NW",322,2,"Phleum_pratense",10,"","A"
"585","26/6/2024","TM","Boothby","NW",322,2,"Epilobium_coloratum",8,"","A"
"586","26/6/2024","TM","Boothby","NW",322,2,"Trifolium_hybridum",10,"","A"
"587","26/6/2024","TM","Boothby","NW",322,2,"Triticum_aestivum",4,"","A"
"589","26/6/2024","TM","Boothby","NW",322,2,"Bromus_hordeaceus",2,"","A"
"590","26/6/2024","TM","Boothby","NW",322,2,"Dactylis_glomerata",4,"","A"
"591","26/6/2024","TM","Boothby","NW",322,3,"Lolium_perenne",50,"","A"
"592","26/6/2024","TM","Boothby","NW",322,3,"Phleum_pratense",15,"","A"
"593","26/6/2024","TM","Boothby","NW",322,3,"Triticum_aestivum",20,"","A"
"594","26/6/2024","TM","Boothby","NW",322,3,"Trifolium_hybridum",3,"","A"
"595","26/6/2024","TM","Boothby","NW",322,3,"Epilobium_parviflorum",2,"","A"
"596","26/6/2024","TM","Boothby","NW",322,3,"Dactylis_glomerata",2,"","A"
"598","26/6/2024","TM","Boothby","NW",322,4,"Lolium_perenne",40,"","A"
"599","26/6/2024","TM","Boothby","NW",322,4,"Phleum_pratense",15,"","A"
"600","26/6/2024","TM","Boothby","NW",322,4,"Epilobium_coloratum",10,"","A"
"601","26/6/2024","TM","Boothby","NW",322,4,"Trifolium_hybridum",5,"","A"
"602","26/6/2024","TM","Boothby","NW",322,4,"Triticum_aestivum",10,"","A"
"603","26/6/2024","TM","Boothby","NW",322,4,"Bromus_hordeaceus",5,"","A"
"604","26/6/2024","TM","Boothby","NW",322,4,"Dactylis_glomerata",10,"","A"
"605","26/6/2024","TM","Boothby","NW",322,4,"Helminthotheca_echiodes",5,"","A"
"607","26/6/2024","BB","Boothby","NW",321,1,"Rumex_conglomeratus",25,"","A"
"608","26/6/2024","BB","Boothby","NW",321,1,"Holcus_lanatus",5,"","A"
"609","26/6/2024","BB","Boothby","NW",321,1,"Urtica_dioica",40,"","A"
"610","26/6/2024","BB","Boothby","NW",321,1,"Arrhenatherum_elatius",15,"","A"
"611","26/6/2024","BB","Boothby","NW",321,1,"Heracleum_sphondylium",5,"","A"
"612","26/6/2024","BB","Boothby","NW",321,1,"Rubus_saxatilis",2,"","A"
"613","26/6/2024","BB","Boothby","NW",321,1,"Stachys_sylvatica",2,"","A"
"614","26/6/2024","BB","Boothby","NW",321,1,"Cirsium_discolor",2,"","A"
"615","26/6/2024","BB","Boothby","NW",321,1,"Lolium_perenne",10,"","A"
"616","26/6/2024","BB","Boothby","NW",321,2,"Rumex_conglomeratus",15,"","A"
"617","26/6/2024","BB","Boothby","NW",321,2,"Holcus_lanatus",10,"","A"
"618","26/6/2024","BB","Boothby","NW",321,2,"Urtica_dioica",45,"","A"
"619","26/6/2024","BB","Boothby","NW",321,2,"Arrhenatherum_elatius",10,"","A"
"620","26/6/2024","BB","Boothby","NW",321,2,"Heracleum_sphondylium",15,"","A"
"621","26/6/2024","BB","Boothby","NW",321,2,"Rubus_saxatilis",5,"","A"
"622","26/6/2024","BB","Boothby","NW",321,2,"Stachys_sylvatica",2,"","A"
"623","26/6/2024","BB","Boothby","NW",321,2,"Cirsium_discolor",15,"","A"
"624","26/6/2024","BB","Boothby","NW",321,2,"Lolium_perenne",5,"","A"
"625","26/6/2024","BB","Boothby","NW",321,3,"Rumex_conglomeratus",45,"","A"
"626","26/6/2024","BB","Boothby","NW",321,3,"Holcus_lanatus",20,"","A"
"627","26/6/2024","BB","Boothby","NW",321,3,"Urtica_dioica",25,"","A"
"628","26/6/2024","BB","Boothby","NW",321,3,"Arrhenatherum_elatius",15,"","A"
"629","26/6/2024","BB","Boothby","NW",321,3,"Heracleum_sphondylium",5,"","A"
"630","26/6/2024","BB","Boothby","NW",321,3,"Rubus_saxatilis",5,"","A"
"631","26/6/2024","BB","Boothby","NW",321,3,"Stachys_sylvatica",2,"","A"
"632","26/6/2024","BB","Boothby","NW",321,3,"Cirsium_discolor",15,"","A"
"633","26/6/2024","BB","Boothby","NW",321,3,"Lolium_perenne",15,"","A"
"634","26/6/2024","BB","Boothby","NW",321,4,"Rumex_conglomeratus",40,"","A"
"635","26/6/2024","BB","Boothby","NW",321,4,"Holcus_lanatus",15,"","A"
"636","26/6/2024","BB","Boothby","NW",321,4,"Urtica_dioica",40,"","A"
"637","26/6/2024","BB","Boothby","NW",321,4,"Arrhenatherum_elatius",5,"","A"
"638","26/6/2024","BB","Boothby","NW",321,4,"Heracleum_sphondylium",10,"","A"
"639","26/6/2024","BB","Boothby","NW",321,4,"Rubus_saxatilis",20,"","A"
"640","26/6/2024","BB","Boothby","NW",321,4,"Stachys_sylvatica",2,"","A"
"641","26/6/2024","BB","Boothby","NW",321,4,"Cirsium_discolor",15,"","A"
"642","26/6/2024","BB","Boothby","NW",321,4,"Lolium_perenne",10,"","A"
"643","26/6/2024","BB","Boothby","NW",323,1,"Rumex_conglomeratus",15,"","A"
"644","26/6/2024","BB","Boothby","NW",323,1,"Phleum_pratense",15,"","A"
"645","26/6/2024","BB","Boothby","NW",323,1,"Dactylis_glomerata",10,"","A"
"646","26/6/2024","BB","Boothby","NW",323,1,"Leucanthemum_vulgare",5,"","A"
"647","26/6/2024","BB","Boothby","NW",323,1,"Centaurea_nigra",25,"","A"
"648","26/6/2024","BB","Boothby","NW",323,1,"Poa_pratensis",5,"","A"
"649","26/6/2024","BB","Boothby","NW",323,1,"Bromus_hordeaceus",15,"","A"
"650","26/6/2024","BB","Boothby","NW",323,2,"Rumex_conglomeratus",10,"","A"
"651","26/6/2024","BB","Boothby","NW",323,2,"Phleum_pratense",25,"","A"
"652","26/6/2024","BB","Boothby","NW",323,2,"Dactylis_glomerata",15,"","A"
"653","26/6/2024","BB","Boothby","NW",323,2,"Leucanthemum_vulgare",20,"","A"
"654","26/6/2024","BB","Boothby","NW",323,2,"Centaurea_nigra",10,"","A"
"655","26/6/2024","BB","Boothby","NW",323,2,"Poa_pratensis",20,"","A"
"656","26/6/2024","BB","Boothby","NW",323,2,"Bromus_hordeaceus",15,"","A"
"657","26/6/2024","BB","Boothby","NW",323,2,"Veronica_agrestis",5,"","A"
"658","26/6/2024","BB","Boothby","NW",323,3,"Rumex_conglomeratus",5,"","A"
"659","26/6/2024","BB","Boothby","NW",323,3,"Phleum_pratense",15,"","A"
"660","26/6/2024","BB","Boothby","NW",323,3,"Dactylis_glomerata",25,"","A"
"661","26/6/2024","BB","Boothby","NW",323,3,"Centaurea_nigra",50,"","A"
"662","26/6/2024","BB","Boothby","NW",323,3,"Poa_pratensis",20,"","A"
"663","26/6/2024","BB","Boothby","NW",323,3,"Bromus_hordeaceus",15,"","A"
"664","26/6/2024","BB","Boothby","NW",323,3,"Lotus_pedunculatus",2,"","A"
"665","26/6/2024","BB","Boothby","NW",323,3,"Anthriscus_sylvestris",2,"","A"
"666","26/6/2024","BB","Boothby","NW",323,4,"Phleum_pratense",5,"","A"
"667","26/6/2024","BB","Boothby","NW",323,4,"Dactylis_glomerata",30,"","A"
"668","26/6/2024","BB","Boothby","NW",323,4,"Centaurea_nigra",25,"","A"
"669","26/6/2024","BB","Boothby","NW",323,4,"Poa_pratensis",25,"","A"
"670","26/6/2024","BB","Boothby","NW",323,4,"Bromus_hordeaceus",10,"","A"
"671","26/6/2024","BB","Boothby","NW",323,4,"Achillea_millefolium",2,"","A"
"672","26/6/2024","BB","Boothby","NW",323,4,"Lotus_pedunculatus",1,"","A"
"673","26/6/2024","BB","Boothby","NW",311,1,"Bromus_hordeaceus",100,"","A"
"674","26/6/2024","BB","Boothby","NW",311,1,"Triticum_aestivum",2,"","A"
"675","26/6/2024","BB","Boothby","NW",311,2,"Bromus_hordeaceus",100,"","A"
"676","26/6/2024","BB","Boothby","NW",311,2,"Holcus_lanatus",5,"","A"
"677","26/6/2024","BB","Boothby","NW",311,3,"Bromus_hordeaceus",100,"","A"
"678","26/6/2024","BB","Boothby","NW",311,3,"Triticum_aestivum",1,"","A"
"679","26/6/2024","BB","Boothby","NW",311,4,"Bromus_hordeaceus",100,"","A"
"680","26/6/2024","BB","Boothby","NW",311,4,"Lolium_perenne",1,"","A"
"681","26/6/2024","BB","Boothby","NW",311,4,"Holcus_lanatus",3,"","A"
"682","26/6/2024","BB","Boothby","NW",313,1,"Mercurialis_perennis",10,"","A"
"683","26/6/2024","BB","Boothby","NW",313,1,"Hedera_helix",15,"","A"
"684","26/6/2024","BB","Boothby","NW",313,1,"Galium_aparine",2,"","A"
"685","26/6/2024","BB","Boothby","NW",313,1,"Anthriscus_sylvestris",5,"","A"
"687","26/6/2024","BB","Boothby","NW",313,2,"Mercurialis_perennis",25,"","A"
"688","26/6/2024","BB","Boothby","NW",313,2,"Hedera_helix",10,"","A"
"689","26/6/2024","BB","Boothby","NW",313,2,"Galium_aparine",5,"","A"
"690","26/6/2024","BB","Boothby","NW",313,2,"Anthriscus_sylvestris",7,"","A"
"692","26/6/2024","BB","Boothby","NW",313,3,"Mercurialis_perennis",50,"","A"
"693","26/6/2024","BB","Boothby","NW",313,3,"Hedera_helix",10,"","A"
"694","26/6/2024","BB","Boothby","NW",313,3,"Galium_aparine",15,"","A"
"695","26/6/2024","BB","Boothby","NW",313,3,"Anthriscus_sylvestris",15,"","A"
"697","26/6/2024","BB","Boothby","NW",313,4,"Mercurialis_perennis",5,"","A"
"698","26/6/2024","BB","Boothby","NW",313,4,"Hedera_helix",10,"","A"
"699","26/6/2024","BB","Boothby","NW",313,4,"Galium_aparine",5,"","A"
"700","26/6/2024","BB","Boothby","NW",313,4,"Anthriscus_sylvestris",15,"","A"
"702","26/6/2024","BB","Boothby","NW",313,4,"Anthriscus_caucalis",2,"","A"
"703","26/6/2024","BB","Boothby","NW",313,4,"Acer_saccharum",0,"100% overhang","A"
"704","26/6/2024","BB","Boothby","NW",313,4,"Aesculus_hippocastanum",0,"20% overhang","A"
"705","26/6/2024","BB","Boothby","NW",312,1,"Vicia_faba",15,"","A"
"706","26/6/2024","BB","Boothby","NW",312,1,"Poa_pratensis",30,"","A"
"707","26/6/2024","BB","Boothby","NW",312,1,"Alopecurus_myosuroides",40,"","A"
"708","26/6/2024","BB","Boothby","NW",312,1,"Epilobium_ciliatum",3,"","A"
"709","26/6/2024","BB","Boothby","NW",312,1,"Stachys_sylvatica",10,"","A"
"711","26/6/2024","BB","Boothby","NW",312,2,"Vicia_faba",20,"","A"
"712","26/6/2024","BB","Boothby","NW",312,2,"Poa_pratensis",5,"","A"
"713","26/6/2024","BB","Boothby","NW",312,2,"Alopecurus_myosuroides",15,"","A"
"714","26/6/2024","BB","Boothby","NW",312,2,"Epilobium_ciliatum",5,"","A"
"715","26/6/2024","BB","Boothby","NW",312,2,"Stachys_sylvatica",2,"","A"
"716","26/6/2024","BB","Boothby","NW",312,2,"Helminthotheca_echiodes",3,"","A"
"717","26/6/2024","BB","Boothby","NW",312,2,"Galium_aparine",3,"","A"
"718","26/6/2024","BB","Boothby","NW",312,2,"Epilobium_hirsutum",8,"","A"
"719","26/6/2024","BB","Boothby","NW",312,2,"Triticum_aestivum",2,"","A"
"720","26/6/2024","BB","Boothby","NW",312,2,"Poa_trivialis",1,"","A"
"722","26/6/2024","BB","Boothby","NW",312,3,"Vicia_faba",35,"","A"
"723","26/6/2024","BB","Boothby","NW",312,3,"Poa_pratensis",5,"","A"
"724","26/6/2024","BB","Boothby","NW",312,3,"Alopecurus_myosuroides",2,"","A"
"725","26/6/2024","BB","Boothby","NW",312,3,"Epilobium_ciliatum",3,"","A"
