Date,Recorder,Site,Block,Plot,Quadrant,Species,Cover,Notes,survey
25/6/2024,BB,Boothby,S,311,4,Epilobium hirsutum,15,,A
25/6/2024,BB,Boothby,S,311,4,Bare ground,40,,A
25/6/2024,BB,Boothby,S,311,4,Helminthotheca echioides,2,,A
25/6/2024,BB,Boothby,S,313,1,Poa trivialis,15,,A
25/6/2024,BB,Boothby,S,313,1,Epilobium ciliatum,15,,A
25/6/2024,BB,Boothby,S,313,1,Bromus hordeaceus,55,,A
25/6/2024,BB,Boothby,S,313,1,Epilobium parviflorum,5,,A
25/6/2024,BB,Boothby,S,313,1,Helminthotheca echioides,5,,A
25/6/2024,BB,Boothby,S,313,1,Bare ground,15,,A
25/6/2024,BB,Boothby,S,313,2,Poa trivialis,10,,A
25/6/2024,BB,Boothby,S,313,2,Epilobium ciliatum,10,,A
25/6/2024,BB,Boothby,S,313,2,Epilobium parviflorum,30,,A
25/6/2024,BB,Boothby,S,313,2,Cirsium vulgare,5,,A
25/6/2024,BB,Boothby,S,313,2,Bromus hordeaceus,20,,A
25/6/2024,BB,Boothby,S,313,2,Bare ground,35,,A
25/6/2024,BB,Boothby,S,313,3,Poa trivialis,10,,A
25/6/2024,BB,Boothby,S,313,3,Epilobium ciliatum,70,,A
25/6/2024,BB,Boothby,S,313,3,Epilobium parviflorum,5,,A
25/6/2024,BB,Boothby,S,313,3,Cirsium vulgare,5,,A
25/6/2024,BB,Boothby,S,313,3,Bare ground,15,,A
25/6/2024,BB,Boothby,S,313,4,Epilobium ciliatum,75,,A
25/6/2024,BB,Boothby,S,313,4,Epilobium parviflorum,5,,A
25/6/2024,BB,Boothby,S,313,4,Bare ground,40,,A
25/6/2024,BB,Boothby,S,312,1,Epilobium ciliatum,30,,A
25/6/2024,BB,Boothby,S,312,1,Epilobium hirsutum,25,,A
25/6/2024,BB,Boothby,S,312,1,Epilobium parviflorum,30,,A
25/6/2024,BB,Boothby,S,312,1,Holcus lanatus,25,,A
25/6/2024,BB,Boothby,S,312,1,Epilobium montanum,10,,A
25/6/2024,BB,Boothby,S,312,1,Bare ground,5,,A
25/6/2024,BB,Boothby,S,312,2,Epilobium ciliatum,5,,A
25/6/2024,BB,Boothby,S,312,2,Epilobium hirsutum,30,,A
25/6/2024,BB,Boothby,S,312,2,Epilobium parviflorum,20,,A
25/6/2024,BB,Boothby,S,312,2,Holcus lanatus,10,,A
25/6/2024,BB,Boothby,S,312,2,Bare ground,40,,A
25/6/2024,BB,Boothby,S,312,2,Epilobium tetragonum,5,,A
25/6/2024,BB,Boothby,S,312,3,Epilobium ciliatum,15,,A
25/6/2024,BB,Boothby,S,312,3,Epilobium hirsutum,55,,A
25/6/2024,BB,Boothby,S,312,3,Epilobium parviflorum,5,,A
25/6/2024,BB,Boothby,S,312,3,Holcus lanatus,15,,A
25/6/2024,BB,Boothby,S,312,3,Jacobaea vulgaris,5,,A
25/6/2024,BB,Boothby,S,312,3,Bare ground,10,,A
25/6/2024,BB,Boothby,S,312,4,Epilobium ciliatum,5,,A
25/6/2024,BB,Boothby,S,312,4,Epilobium hirsutum,40,,A
25/6/2024,BB,Boothby,S,312,4,Epilobium parviflorum,5,,A
25/6/2024,BB,Boothby,S,312,4,Holcus lanatus,20,,A
25/6/2024,BB,Boothby,S,312,4,Bare ground,60,,A
25/6/2024,BB,Boothby,S,321,1,Dactylis glomerata,50,,A
25/6/2024,BB,Boothby,S,321,1,Poa trivialis,10,,A
25/6/2024,BB,Boothby,S,321,1,Arrhenatherum elatius,20,,A
25/6/2024,BB,Boothby,S,321,1,Rumex conglomeratus,5,,A
25/6/2024,BB,Boothby,S,321,1,Bare ground,15,,A
25/6/2024,BB,Boothby,S,321,2,Dactylis glomerata,65,,A
25/6/2024,BB,Boothby,S,321,2,Poa trivialis,15,,A
25/6/2024,BB,Boothby,S,321,2,Arrhenatherum elatius,15,,A
25/6/2024,BB,Boothby,S,321,2,Urtica dioica,10,,A
25/6/2024,BB,Boothby,S,321,2,Bare ground,10,,A
25/6/2024,BB,Boothby,S,321,3,Dactylis glomerata,40,,A
25/6/2024,BB,Boothby,S,321,3,Poa trivialis,5,,A
25/6/2024,BB,Boothby,S,321,3,Arrhenatherum elatius,30,,A
25/6/2024,BB,Boothby,S,321,3,Urtica dioica,20,,A
25/6/2024,BB,Boothby,S,321,3,Rumex conglomeratus,10,,A
25/6/2024,BB,Boothby,S,321,3,Bare ground,5,,A
25/6/2024,BB,Boothby,S,321,4,Dactylis glomerata,55,,A
25/6/2024,BB,Boothby,S,321,4,Arrhenatherum elatius,25,,A
25/6/2024,BB,Boothby,S,321,4,Urtica dioica,25,,A
25/6/2024,BB,Boothby,S,321,4,Rumex conglomeratus,15,,A
25/6/2024,BB,Boothby,S,321,4,Bare ground,5,,A
26/6/2024,TM,Boothby,NW,212,1,Centaurea nigra,25,Common knapweed,A
26/6/2024,TM,Boothby,NW,212,1,Cynosurus cristatus,15,Crested dogs-tail,A
26/6/2024,TM,Boothby,NW,212,1,Lolium perenne,10,Perennial ryegrass,A
26/6/2024,TM,Boothby,NW,212,1,Poa pratensis,5,Smooth meadow grass,A
26/6/2024,TM,Boothby,NW,212,1,Leucanthemum vulgare,2,Ox-eye daisy,A
26/6/2024,TM,Boothby,NW,212,1,Phleum pratense,15,Timothy,A
26/6/2024,TM,Boothby,NW,212,1,Prunus spinosa,7,blackthorn,A
26/6/2024,TM,Boothby,NW,212,1,Lotus pedunculatus,3,Greater birds-foot-treefoil,A
26/6/2024,TM,Boothby,NW,212,1,Bare ground,30,,A
26/6/2024,TM,Boothby,NW,212,2,Centaurea nigra,30,,A
26/6/2024,TM,Boothby,NW,212,2,Cynosurus cristatus,10,,A
26/6/2024,TM,Boothby,NW,212,2,Poa pratensis,5,,A
26/6/2024,TM,Boothby,NW,212,2,Leucanthemum vulgare,10,,A
26/6/2024,TM,Boothby,NW,212,2,Phleum pratense,2,,A
26/6/2024,TM,Boothby,NW,212,2,Agrostis stolonifera,2,,A
26/6/2024,TM,Boothby,NW,212,2,Lotus pedunculatus,3,,A
26/6/2024,TM,Boothby,NW,212,2,Rumex conglomeratus,4,,A
26/6/2024,TM,Boothby,NW,212,2,Festuca rubra,4,,A
26/6/2024,TM,Boothby,NW,212,2,Bare ground,20,,A
26/6/2024,TM,Boothby,NW,212,3,Centaurea nigra,35,,A
26/6/2024,TM,Boothby,NW,212,3,Cynosurus cristatus,15,,A
26/6/2024,TM,Boothby,NW,212,3,Lolium perenne,5,,A
26/6/2024,TM,Boothby,NW,212,3,Poa pratensis,25,,A
26/6/2024,TM,Boothby,NW,212,3,Leucanthemum vulgare,2,,A
26/6/2024,TM,Boothby,NW,212,3,Phleum pratense,5,,A
26/6/2024,TM,Boothby,NW,212,3,Prunus spinosa,5,,A
26/6/2024,TM,Boothby,NW,212,3,Rumex conglomeratus,2,,A
26/6/2024,TM,Boothby,NW,212,3,Lotus pedunculatus,5,,A
26/6/2024,TM,Boothby,NW,212,3,Bare ground,15,,A
26/6/2024,TM,Boothby,NW,212,4,Centaurea nigra,30,,A
26/6/2024,TM,Boothby,NW,212,4,Cynosurus cristatus,10,,A
26/6/2024,TM,Boothby,NW,212,4,Lolium perenne,2,,A
26/6/2024,TM,Boothby,NW,212,4,Poa pratensis,2,,A
26/6/2024,TM,Boothby,NW,212,4,Leucanthemum vulgare,5,,A
26/6/2024,TM,Boothby,NW,212,4,Phleum pratense,5,,A
26/6/2024,TM,Boothby,NW,212,4,Lotus pedunculatus,3,,A
26/6/2024,TM,Boothby,NW,212,4,Festuca rubra,3,,A
26/6/2024,TM,Boothby,NW,212,4,Dead grass,40,,A
26/6/2024,TM,Boothby,NW,211,1,Alopecurus myosuroides,30,Black twitch,A
26/6/2024,TM,Boothby,NW,211,1,Triticum aestivum,30,Wheat,A
26/6/2024,TM,Boothby,NW,211,1,Bromus hordeaceus,1,Soft Brome,A
26/6/2024,TM,Boothby,NW,211,1,Epilobium tetragonum,2,Square stalked willowherb,A
26/6/2024,TM,Boothby,NW,211,1,Bare ground,40,,A
26/6/2024,TM,Boothby,NW,211,2,Alopecurus myosuroides,15,Black twitch,A
26/6/2024,TM,Boothby,NW,211,2,Triticum aestivum,30,Whear,A
26/6/2024,TM,Boothby,NW,211,2,Senecio vulgaris,5,Groundsel,A
26/6/2024,TM,Boothby,NW,211,2,Epilobium hirsutum,2,Great hairy willow-herb,A
26/6/2024,TM,Boothby,NW,211,2,Bare ground,50,,A
26/6/2024,TM,Boothby,NW,211,3,Triticum aestivum,30,,A
26/6/2024,TM,Boothby,NW,211,3,Senecio vulgaris,3,,A
26/6/2024,TM,Boothby,NW,211,3,Bare ground,65,,A
26/6/2024,TM,Boothby,NW,211,4,Triticum aestivum,35,,A
26/6/2024,TM,Boothby,NW,211,4,Epilobium hirsutum,5,,A
26/6/2024,TM,Boothby,NW,211,4,Bare ground,65,,A
26/6/2024,TM,Boothby,NW,222,1,Brassica rapa,7,Field mustard,A
26/6/2024,TM,Boothby,NW,222,1,Phacelia tanacetifolia,15,Fiddleneck,A
26/6/2024,TM,Boothby,NW,222,1,Vicia sativa,15,Common vetch,A
26/6/2024,TM,Boothby,NW,222,1,Epilobium hirsutum,5,Great hairy willow-herb,A
26/6/2024,TM,Boothby,NW,222,1,Fagopyrum esculentum ,5,Buckwheat,A
26/6/2024,TM,Boothby,NW,222,1,Trifolium alexandrinum,3,Egyptian Clover,A
26/6/2024,TM,Boothby,NW,222,1,Trifolium incarnatum,2,Crimson Clover,A
26/6/2024,TM,Boothby,NW,222,1,Atriplex patula,5,Common orache,A
26/6/2024,TM,Boothby,NW,222,1,Camelina sativa,5,German sesame,A
26/6/2024,TM,Boothby,NW,222,1,Senecio vulgaris,2,Groundsel,A
26/6/2024,TM,Boothby,NW,222,1,Bare ground,30,,A
26/6/2024,TM,Boothby,NW,222,1,Matricaria chamomilla,10,Hungarian chamomile,A
26/6/2024,TM,Boothby,NW,222,2,Brassica rapa,1,,A
26/6/2024,TM,Boothby,NW,222,2,Phacelia tanacetifolia,10,,A
26/6/2024,TM,Boothby,NW,222,2,Vicia sativa,8,,A
26/6/2024,TM,Boothby,NW,222,2,Fagopyrum esculentum ,2,,A
26/6/2024,TM,Boothby,NW,222,2,Trifolium alexandrinum,3,,A
26/6/2024,TM,Boothby,NW,222,2,Camelina sativa,4,,A
26/6/2024,TM,Boothby,NW,222,2,Senecio vulgaris,3,,A
26/6/2024,TM,Boothby,NW,222,2,Matricaria chamomilla,10,,A
26/6/2024,TM,Boothby,NW,222,2,Triticum aestivum,10,,A
26/6/2024,TM,Boothby,NW,222,2,Bare ground,55,,A
26/6/2024,TM,Boothby,NW,222,3,Brassica rapa,5,,A
26/6/2024,TM,Boothby,NW,222,3,Phacelia tanacetifolia,2,,A
26/6/2024,TM,Boothby,NW,222,3,Fagopyrum esculentum ,2,,A
26/6/2024,TM,Boothby,NW,222,3,Trifolium alexandrinum,5,,A
26/6/2024,TM,Boothby,NW,222,3,Trifolium incarnatum,2,,A
26/6/2024,TM,Boothby,NW,222,3,Camelina sativa,2,,A
26/6/2024,TM,Boothby,NW,222,3,Senecio vulgaris,5,,A
26/6/2024,TM,Boothby,NW,222,3,Matricaria chamomilla,45,,A
26/6/2024,TM,Boothby,NW,222,3,Sonchus asper ,5,,A
26/6/2024,TM,Boothby,NW,222,3,Bare ground,35,,A
26/6/2024,TM,Boothby,NW,222,4,Phacelia tanacetifolia,8,,A
26/6/2024,TM,Boothby,NW,222,4,Vicia sativa,7,,A
26/6/2024,TM,Boothby,NW,222,4,Fagopyrum esculentum ,3,,A
26/6/2024,TM,Boothby,NW,222,4,Trifolium alexandrinum,5,,A
26/6/2024,TM,Boothby,NW,222,4,Senecio vulgaris,2,,A
26/6/2024,TM,Boothby,NW,222,4,Bare ground,40,,A
26/6/2024,TM,Boothby,NW,222,4,Matricaria chamomilla,40,,A
26/6/2024,TM,Boothby,NW,213,1,Brassica rapa,3,,A
26/6/2024,TM,Boothby,NW,213,1,Triticum aestivum,2,,A
26/6/2024,TM,Boothby,NW,213,1,Phacelia tanacetifolia,3,,A
26/6/2024,TM,Boothby,NW,213,1,Trifolium alexandrinum,10,,A
26/6/2024,TM,Boothby,NW,213,1,Senecio vulgaris,5,,A
26/6/2024,TM,Boothby,NW,213,1,Vicia sativa,3,,A
26/6/2024,TM,Boothby,NW,213,1,Bare ground,70,,A
26/6/2024,TM,Boothby,NW,213,1,Trifolium incarnatum,5,,A
26/6/2024,TM,Boothby,NW,213,2,Bromus hordeaceus,10,,A
26/6/2024,TM,Boothby,NW,213,2,Brassica rapa,2,,A
26/6/2024,TM,Boothby,NW,213,2,Vicia sativa,10,,A
26/6/2024,TM,Boothby,NW,213,2,Trifolium alexandrinum,5,,A
26/6/2024,TM,Boothby,NW,213,2,Fagopyrum esculentum ,2,,A
26/6/2024,TM,Boothby,NW,213,2,Epilobium tetragonum,1,Sample 3,A
26/6/2024,TM,Boothby,NW,213,2,Bare ground,75,,A
26/6/2024,TM,Boothby,NW,213,3,Triticum aestivum,2,,A
26/6/2024,TM,Boothby,NW,213,3,Bromus hordeaceus,5,,A
26/6/2024,TM,Boothby,NW,213,3,Vicia sativa,8,,A
26/6/2024,TM,Boothby,NW,213,3,Trifolium alexandrinum,2,,A
26/6/2024,TM,Boothby,NW,213,3,Hypochaeris glabra,1,,A
26/6/2024,TM,Boothby,NW,213,3,Phacelia tanacetifolia,1,,A
26/6/2024,TM,Boothby,NW,213,3,Senecio vulgaris,2,,A
26/6/2024,TM,Boothby,NW,213,3,Trifolium incarnatum,1,,A
26/6/2024,TM,Boothby,NW,213,3,Bare ground,80,,A
26/6/2024,TM,Boothby,NW,213,4,Bromus hordeaceus,30,,A
26/6/2024,TM,Boothby,NW,213,4,Trifolium alexandrinum,5,,A
26/6/2024,TM,Boothby,NW,213,4,Vicia sativa,10,,A
26/6/2024,TM,Boothby,NW,213,4,Phacelia tanacetifolia,1,,A
26/6/2024,TM,Boothby,NW,213,4,Bare ground,60,,A
26/6/2024,TM,Boothby,NW,233,1,Epilobium coloratum,1,,A
26/6/2024,TM,Boothby,NW,233,1,Alopecurus myosuroides,5,,A
26/6/2024,TM,Boothby,NW,233,1,Sticks,2,,A
26/6/2024,TM,Boothby,NW,233,1,Sonchus asper,20,,A
26/6/2024,TM,Boothby,NW,233,1,Bare ground,80,,A
26/6/2024,TM,Boothby,NW,233,2,Epilobium coloratum,5,,A
26/6/2024,TM,Boothby,NW,233,2,Alopecurus myosuroides,5,,A
26/6/2024,TM,Boothby,NW,233,2,Bare ground,90,,A
26/6/2024,TM,Boothby,NW,233,2,Senecio vulgaris,1,,A
26/6/2024,TM,Boothby,NW,233,3,Epilobium coloratum,10,,A
26/6/2024,TM,Boothby,NW,233,3,Epilobium parviflorum,5,,A
26/6/2024,TM,Boothby,NW,233,3,Bare ground,90,,A
26/6/2024,TM,Boothby,NW,233,4,Senecio vulgaris,1,,A
26/6/2024,TM,Boothby,NW,233,4,Epilobium coloratum,10,,A
26/6/2024,TM,Boothby,NW,233,4,Vicia faba,30,,A
26/6/2024,TM,Boothby,NW,233,4,Bare ground,60,,A
26/6/2024,TM,Boothby,NW,322,1,Vicia faba,20,,A
26/6/2024,TM,Boothby,NW,322,1,Lolium perenne,35,,A
26/6/2024,TM,Boothby,NW,322,1,Phleum pratense,10,,A
26/6/2024,TM,Boothby,NW,322,1,Triticum aestivum,5,,A
26/6/2024,TM,Boothby,NW,322,1,Trifolium hybridum,5,,A
26/6/2024,TM,Boothby,NW,322,1,Epilobium parviflorum,3,,A
26/6/2024,TM,Boothby,NW,322,2,Lolium perenne,30,,A
26/6/2024,TM,Boothby,NW,322,2,Phleum pratense,10,,A
26/6/2024,TM,Boothby,NW,322,2,Epilobium coloratum,8,,A
26/6/2024,TM,Boothby,NW,322,2,Trifolium hybridum,10,,A
26/6/2024,TM,Boothby,NW,322,2,Triticum aestivum,4,,A
26/6/2024,TM,Boothby,NW,322,2,Bare ground,32,,A
26/6/2024,TM,Boothby,NW,322,2,Bromus hordeaceus,2,,A
26/6/2024,TM,Boothby,NW,322,2,Dactylis glomerata,4,,A
26/6/2024,TM,Boothby,NW,322,3,Lolium perenne,50,,A
26/6/2024,TM,Boothby,NW,322,3,Phleum pratense,15,,A
26/6/2024,TM,Boothby,NW,322,3,Triticum aestivum,20,,A
26/6/2024,TM,Boothby,NW,322,3,Trifolium hybridum,3,,A
26/6/2024,TM,Boothby,NW,322,3,Epilobium parviflorum,2,,A
26/6/2024,TM,Boothby,NW,322,3,Dactylis glomerata,2,,A
26/6/2024,TM,Boothby,NW,322,3,Bare ground,30,,A
26/6/2024,TM,Boothby,NW,322,4,Lolium perenne,40,,A
26/6/2024,TM,Boothby,NW,322,4,Phleum pratense,15,,A
26/6/2024,TM,Boothby,NW,322,4,Epilobium coloratum,10,,A
26/6/2024,TM,Boothby,NW,322,4,Trifolium hybridum,5,,A
26/6/2024,TM,Boothby,NW,322,4,Triticum aestivum,10,,A
26/6/2024,TM,Boothby,NW,322,4,Bromus hordeaceus,5,,A
26/6/2024,TM,Boothby,NW,322,4,Dactylis glomerata,10,,A
26/6/2024,TM,Boothby,NW,322,4,Helminthotheca echiodes,5,,A
26/6/2024,TM,Boothby,NW,322,4,Bare ground,35,,A
26/6/2024,BB,Boothby,NW,321,1,Rumex conglomeratus,25,,A
26/6/2024,BB,Boothby,NW,321,1,Holcus lanatus,5,,A
26/6/2024,BB,Boothby,NW,321,1,Urtica dioica,40,,A
26/6/2024,BB,Boothby,NW,321,1,Arrhenatherum elatius,15,,A
26/6/2024,BB,Boothby,NW,321,1,Heracleum sphondylium,5,,A
26/6/2024,BB,Boothby,NW,321,1,Rubus saxatilis,2,,A
26/6/2024,BB,Boothby,NW,321,1,Stachys sylvatica,2,,A
26/6/2024,BB,Boothby,NW,321,1,Cirsium discolor,2,,A
26/6/2024,BB,Boothby,NW,321,1,Lolium perenne,10,,A
26/6/2024,BB,Boothby,NW,321,2,Rumex conglomeratus,15,,A
26/6/2024,BB,Boothby,NW,321,2,Holcus lanatus,10,,A
26/6/2024,BB,Boothby,NW,321,2,Urtica dioica,45,,A
26/6/2024,BB,Boothby,NW,321,2,Arrhenatherum elatius,10,,A
26/6/2024,BB,Boothby,NW,321,2,Heracleum sphondylium,15,,A
26/6/2024,BB,Boothby,NW,321,2,Rubus saxatilis,5,,A
26/6/2024,BB,Boothby,NW,321,2,Stachys sylvatica,2,,A
26/6/2024,BB,Boothby,NW,321,2,Cirsium discolor,15,,A
26/6/2024,BB,Boothby,NW,321,2,Lolium perenne,5,,A
26/6/2024,BB,Boothby,NW,321,3,Rumex conglomeratus,45,,A
26/6/2024,BB,Boothby,NW,321,3,Holcus lanatus,20,,A
26/6/2024,BB,Boothby,NW,321,3,Urtica dioica,25,,A
26/6/2024,BB,Boothby,NW,321,3,Arrhenatherum elatius,15,,A
26/6/2024,BB,Boothby,NW,321,3,Heracleum sphondylium,5,,A
26/6/2024,BB,Boothby,NW,321,3,Rubus saxatilis,5,,A
26/6/2024,BB,Boothby,NW,321,3,Stachys sylvatica,2,,A
26/6/2024,BB,Boothby,NW,321,3,Cirsium discolor,15,,A
26/6/2024,BB,Boothby,NW,321,3,Lolium perenne,15,,A
26/6/2024,BB,Boothby,NW,321,4,Rumex conglomeratus,40,,A
26/6/2024,BB,Boothby,NW,321,4,Holcus lanatus,15,,A
26/6/2024,BB,Boothby,NW,321,4,Urtica dioica,40,,A
26/6/2024,BB,Boothby,NW,321,4,Arrhenatherum elatius,5,,A
26/6/2024,BB,Boothby,NW,321,4,Heracleum sphondylium,10,,A
26/6/2024,BB,Boothby,NW,321,4,Rubus saxatilis,20,,A
26/6/2024,BB,Boothby,NW,321,4,Stachys sylvatica,2,,A
26/6/2024,BB,Boothby,NW,321,4,Cirsium discolor,15,,A
26/6/2024,BB,Boothby,NW,321,4,Lolium perenne,10,,A
26/6/2024,BB,Boothby,NW,323,1,Rumex conglomeratus,15,,A
26/6/2024,BB,Boothby,NW,323,1,Phleum pratense,15,,A
26/6/2024,BB,Boothby,NW,323,1,Dactylis glomerata,10,,A
26/6/2024,BB,Boothby,NW,323,1,Leucanthemum vulgare,5,,A
26/6/2024,BB,Boothby,NW,323,1,Centaurea nigra,25,,A
26/6/2024,BB,Boothby,NW,323,1,Poa pratensis,5,,A
26/6/2024,BB,Boothby,NW,323,1,Bromus hordeaceus,15,,A
26/6/2024,BB,Boothby,NW,323,2,Rumex conglomeratus,10,,A
26/6/2024,BB,Boothby,NW,323,2,Phleum pratense,25,,A
26/6/2024,BB,Boothby,NW,323,2,Dactylis glomerata,15,,A
26/6/2024,BB,Boothby,NW,323,2,Leucanthemum vulgare,20,,A
26/6/2024,BB,Boothby,NW,323,2,Centaurea nigra,10,,A
26/6/2024,BB,Boothby,NW,323,2,Poa pratensis,20,,A
26/6/2024,BB,Boothby,NW,323,2,Bromus hordeaceus,15,,A
26/6/2024,BB,Boothby,NW,323,2,Veronica agrestis,5,,A
26/6/2024,BB,Boothby,NW,323,3,Rumex conglomeratus,5,,A
26/6/2024,BB,Boothby,NW,323,3,Phleum pratense,15,,A
26/6/2024,BB,Boothby,NW,323,3,Dactylis glomerata,25,,A
26/6/2024,BB,Boothby,NW,323,3,Centaurea nigra,50,,A
26/6/2024,BB,Boothby,NW,323,3,Poa pratensis,20,,A
26/6/2024,BB,Boothby,NW,323,3,Bromus hordeaceus,15,,A
26/6/2024,BB,Boothby,NW,323,3,Lotus pedunculatus,2,,A
26/6/2024,BB,Boothby,NW,323,3,Anthriscus sylvestris,2,,A
26/6/2024,BB,Boothby,NW,323,4,Phleum pratense,5,,A
26/6/2024,BB,Boothby,NW,323,4,Dactylis glomerata,30,,A
26/6/2024,BB,Boothby,NW,323,4,Centaurea nigra,25,,A
26/6/2024,BB,Boothby,NW,323,4,Poa pratensis,25,,A
26/6/2024,BB,Boothby,NW,323,4,Bromus hordeaceus,10,,A
26/6/2024,BB,Boothby,NW,323,4,Achillea millefolium,2,,A
26/6/2024,BB,Boothby,NW,323,4,Lotus pedunculatus,1,,A
26/6/2024,BB,Boothby,NW,311,1,Bromus hordeaceus,100,,A
26/6/2024,BB,Boothby,NW,311,1,Triticum aestivum,2,,A
26/6/2024,BB,Boothby,NW,311,2,Bromus hordeaceus,100,,A
26/6/2024,BB,Boothby,NW,311,2,Holcus lanatus,5,,A
26/6/2024,BB,Boothby,NW,311,3,Bromus hordeaceus,100,,A
26/6/2024,BB,Boothby,NW,311,3,Triticum aestivum,1,,A
26/6/2024,BB,Boothby,NW,311,4,Bromus hordeaceus,100,,A
26/6/2024,BB,Boothby,NW,311,4,Lolium perenne,1,,A
26/6/2024,BB,Boothby,NW,311,4,Holcus lanatus,3,,A
26/6/2024,BB,Boothby,NW,313,1,Mercurialis perennis,10,,A
26/6/2024,BB,Boothby,NW,313,1,Hedera helix,15,,A
26/6/2024,BB,Boothby,NW,313,1,Galium aparine,2,,A
26/6/2024,BB,Boothby,NW,313,1,Anthriscus sylvestris,5,,A
26/6/2024,BB,Boothby,NW,313,1,Bare ground,80,,A
26/6/2024,BB,Boothby,NW,313,2,Mercurialis perennis,25,,A
26/6/2024,BB,Boothby,NW,313,2,Hedera helix,10,,A
26/6/2024,BB,Boothby,NW,313,2,Galium aparine,5,,A
26/6/2024,BB,Boothby,NW,313,2,Anthriscus sylvestris,7,,A
26/6/2024,BB,Boothby,NW,313,2,Bare ground,70,,A
26/6/2024,BB,Boothby,NW,313,3,Mercurialis perennis,50,,A
26/6/2024,BB,Boothby,NW,313,3,Hedera helix,10,,A
26/6/2024,BB,Boothby,NW,313,3,Galium aparine,15,,A
26/6/2024,BB,Boothby,NW,313,3,Anthriscus sylvestris,15,,A
26/6/2024,BB,Boothby,NW,313,3,Bare ground,40,,A
26/6/2024,BB,Boothby,NW,313,4,Mercurialis perennis,5,,A
26/6/2024,BB,Boothby,NW,313,4,Hedera helix,10,,A
26/6/2024,BB,Boothby,NW,313,4,Galium aparine,5,,A
26/6/2024,BB,Boothby,NW,313,4,Anthriscus sylvestris,15,,A
26/6/2024,BB,Boothby,NW,313,4,Bare ground,75,,A
26/6/2024,BB,Boothby,NW,313,4,Anthriscus caucalis,2,,A
26/6/2024,BB,Boothby,NW,313,4,Acer saccharum,0,100% overhang,A
26/6/2024,BB,Boothby,NW,313,4,Aesculus hippocastanum,0,20% overhang,A
26/6/2024,BB,Boothby,NW,312,1,Vicia faba,15,,A
26/6/2024,BB,Boothby,NW,312,1,Poa pratensis,30,,A
26/6/2024,BB,Boothby,NW,312,1,Alopecurus myosuroides,40,,A
26/6/2024,BB,Boothby,NW,312,1,Epilobium ciliatum,3,,A
26/6/2024,BB,Boothby,NW,312,1,Stachys sylvatica,10,,A
26/6/2024,BB,Boothby,NW,312,1,Bare ground,10,,A
26/6/2024,BB,Boothby,NW,312,2,Vicia faba,20,,A
26/6/2024,BB,Boothby,NW,312,2,Poa pratensis,5,,A
26/6/2024,BB,Boothby,NW,312,2,Alopecurus myosuroides,15,,A
26/6/2024,BB,Boothby,NW,312,2,Epilobium ciliatum,5,,A
26/6/2024,BB,Boothby,NW,312,2,Stachys sylvatica,2,,A
26/6/2024,BB,Boothby,NW,312,2,Helminthotheca echiodes,3,,A
26/6/2024,BB,Boothby,NW,312,2,Galium aparine,3,,A
26/6/2024,BB,Boothby,NW,312,2,Epilobium hirsutum,8,,A
26/6/2024,BB,Boothby,NW,312,2,Triticum aestivum,2,,A
26/6/2024,BB,Boothby,NW,312,2,Poa trivialis,1,,A
26/6/2024,BB,Boothby,NW,312,2,Bare ground,15,,A
26/6/2024,BB,Boothby,NW,312,3,Vicia faba,35,,A
26/6/2024,BB,Boothby,NW,312,3,Poa pratensis,5,,A
26/6/2024,BB,Boothby,NW,312,3,Alopecurus myosuroides,2,,A
26/6/2024,BB,Boothby,NW,312,3,Epilobium ciliatum,3,,A
26/6/2024,BB,Boothby,NW,312,3,Stachys sylvatica,5,,A
26/6/2024,BB,Boothby,NW,312,3,Epilobium parviflorum,15,,A
26/6/2024,BB,Boothby,NW,312,3,Galium aparine,15,,A
26/6/2024,BB,Boothby,NW,312,3,Sonchus asper,10,,A
26/6/2024,BB,Boothby,NW,312,3,Bare ground,30,,A
26/6/2024,BB,Boothby,NW,312,4,Vicia faba,45,,A
26/6/2024,BB,Boothby,NW,312,4,Poa trivialis,10,,A
26/6/2024,BB,Boothby,NW,312,4,Alopecurus myosuroides,3,,A
26/6/2024,BB,Boothby,NW,312,4,Epilobium ciliatum,3,,A
26/6/2024,BB,Boothby,NW,312,4,Epilobium hirsutum,10,,A
26/6/2024,BB,Boothby,NW,312,4,Epilobium parviflorum,4,,A
26/6/2024,BB,Boothby,NW,312,4,Cirsium discolor,5,,A
26/6/2024,BB,Boothby,NW,312,4,Helminthotheca echiodes,3,,A
26/6/2024,BB,Boothby,NW,312,4,Triticum aestivum,2,,A
26/6/2024,BB,Boothby,NW,312,4,Bare ground,25,,A
27/6/2024,TM,Boothby,C,133,1,Bromus hordeaceus,30,,A
27/6/2024,TM,Boothby,C,133,1,Triticum aestivum,50,,A
27/6/2024,TM,Boothby,C,133,1,Thymus pulegioides,1,Large thyme,A
27/6/2024,TM,Boothby,C,133,1,Bare ground,40,,A
27/6/2024,TM,Boothby,C,133,2,Bromus hordeaceus,40,,A
27/6/2024,TM,Boothby,C,133,2,Triticum aestivum,45,,A
27/6/2024,TM,Boothby,C,133,2,Bare ground,45,,A
27/6/2024,TM,Boothby,C,133,3,Bromus hordeaceus,25,,A
27/6/2024,TM,Boothby,C,133,3,Triticum aestivum,40,,A
27/6/2024,TM,Boothby,C,133,3,Epilobium tetragonum,3,,A
